antecedent,consequent,support_days,confidence,lift
화담숲주막_찹쌀식혜,화담숲주막_병천순대,280,1.0,1.866666666666667
화담숲주막_찹쌀식혜,화담숲주막_해물파전,280,1.0,1.866666666666667
화담숲주막_병천순대,화담숲주막_해물파전,285,1.0,1.8666666666666667
화담숲주막_해물파전,화담숲주막_병천순대,285,1.0,1.8666666666666667
화담숲주막_느린마을 막걸리,화담숲주막_병천순대,283,1.0,1.8666666666666667
화담숲주막_느린마을 막걸리,화담숲주막_해물파전,283,1.0,1.8666666666666667
화담숲주막_참살이 막걸리,화담숲주막_병천순대,283,1.0,1.8666666666666667
화담숲주막_참살이 막걸리,화담숲주막_해물파전,283,1.0,1.8666666666666667
화담숲주막_단호박 식혜 ,화담숲주막_병천순대,282,1.0,1.8666666666666667
화담숲주막_단호박 식혜 ,화담숲주막_해물파전,282,1.0,1.8666666666666667
화담숲주막_스프라이트,화담숲주막_병천순대,278,1.0,1.8666666666666667
화담숲주막_스프라이트,화담숲주막_해물파전,278,1.0,1.8666666666666667
화담숲주막_콜라,화담숲주막_병천순대,276,1.0,1.8666666666666667
화담숲주막_콜라,화담숲주막_해물파전,276,1.0,1.8666666666666667
화담숲주막_스프라이트,화담숲주막_느린마을 막걸리,277,0.9964028776978417,1.8730965757429392
화담숲주막_콜라,화담숲주막_참살이 막걸리,275,0.9963768115942029,1.873047575152353
화담숲주막_병천순대,화담숲주막_느린마을 막걸리,283,0.9929824561403509,1.8666666666666667
화담숲주막_해물파전,화담숲주막_느린마을 막걸리,283,0.9929824561403509,1.8666666666666667
화담숲주막_병천순대,화담숲주막_참살이 막걸리,283,0.9929824561403509,1.8666666666666667
화담숲주막_해물파전,화담숲주막_참살이 막걸리,283,0.9929824561403509,1.8666666666666667
화담숲주막_느린마을 막걸리,화담숲주막_참살이 막걸리,281,0.9929328621908127,1.866573437051281
화담숲주막_참살이 막걸리,화담숲주막_느린마을 막걸리,281,0.9929328621908127,1.866573437051281
화담숲주막_단호박 식혜 ,화담숲주막_느린마을 막걸리,280,0.9929078014184397,1.8665263263413778
화담숲주막_단호박 식혜 ,화담숲주막_참살이 막걸리,280,0.9929078014184397,1.8665263263413778
화담숲주막_찹쌀식혜,화담숲주막_단호박 식혜 ,278,0.9928571428571429,1.8730496453900713
화담숲주막_찹쌀식혜,화담숲주막_느린마을 막걸리,278,0.9928571428571429,1.866431095406361
화담숲주막_찹쌀식혜,화담숲주막_참살이 막걸리,278,0.9928571428571429,1.866431095406361
화담숲주막_스프라이트,화담숲주막_참살이 막걸리,276,0.9928057553956835,1.8663344942420623
화담숲주막_콜라,화담숲주막_단호박 식혜 ,274,0.9927536231884058,1.872854352965361
화담숲주막_콜라,화담숲주막_느린마을 막걸리,274,0.9927536231884058,1.86623649306089
화담숲주막_병천순대,화담숲주막_단호박 식혜 ,282,0.9894736842105263,1.8666666666666667
화담숲주막_해물파전,화담숲주막_단호박 식혜 ,282,0.9894736842105263,1.8666666666666667
화담숲주막_느린마을 막걸리,화담숲주막_단호박 식혜 ,280,0.9893992932862191,1.8665263263413778
화담숲주막_참살이 막걸리,화담숲주막_단호박 식혜 ,280,0.9893992932862191,1.8665263263413778
화담숲주막_스프라이트,화담숲주막_단호박 식혜 ,275,0.9892086330935251,1.8661666411551605
화담숲주막_단호박 식혜 ,화담숲주막_찹쌀식혜,278,0.9858156028368794,1.8730496453900713
화담숲주막_콜라,화담숲주막_스프라이트,272,0.9855072463768116,1.8859347304764882
화담숲주막_병천순대,화담숲주막_찹쌀식혜,280,0.9824561403508771,1.866666666666667
화담숲주막_해물파전,화담숲주막_찹쌀식혜,280,0.9824561403508771,1.866666666666667
화담숲주막_느린마을 막걸리,화담숲주막_찹쌀식혜,278,0.9823321554770318,1.866431095406361
화담숲주막_참살이 막걸리,화담숲주막_찹쌀식혜,278,0.9823321554770318,1.866431095406361
화담숲주막_스프라이트,화담숲주막_찹쌀식혜,273,0.9820143884892086,1.8658273381294963
화담숲주막_콜라,화담숲주막_찹쌀식혜,271,0.9818840579710145,1.8655797101449274
화담숲주막_느린마을 막걸리,화담숲주막_스프라이트,277,0.9787985865724381,1.8730965757429392
화담숲주막_스프라이트,화담숲주막_콜라,272,0.9784172661870504,1.8859347304764882
화담숲주막_병천순대,화담숲주막_스프라이트,278,0.9754385964912281,1.8666666666666667
화담숲주막_해물파전,화담숲주막_스프라이트,278,0.9754385964912281,1.8666666666666667
화담숲주막_참살이 막걸리,화담숲주막_스프라이트,276,0.9752650176678446,1.8663344942420623
화담숲주막_단호박 식혜 ,화담숲주막_스프라이트,275,0.975177304964539,1.8661666411551605
화담숲주막_찹쌀식혜,화담숲주막_스프라이트,273,0.975,1.8658273381294963
화담숲주막_참살이 막걸리,화담숲주막_콜라,275,0.9717314487632509,1.873047575152353
화담숲주막_단호박 식혜 ,화담숲주막_콜라,274,0.9716312056737588,1.872854352965361
화담숲주막_병천순대,화담숲주막_콜라,276,0.968421052631579,1.8666666666666667
화담숲주막_해물파전,화담숲주막_콜라,276,0.968421052631579,1.8666666666666667
화담숲주막_느린마을 막걸리,화담숲주막_콜라,274,0.9681978798586572,1.86623649306089
화담숲주막_찹쌀식혜,화담숲주막_콜라,271,0.9678571428571429,1.8655797101449274
