menu_a,menu_b,support_days,conf_a_to_b,conf_b_to_a,lift,jaccard,cosine
화담숲주막_스프라이트,화담숲주막_콜라,272,0.9784172661870504,0.9855072463768116,1.8859347304764882,0.9645390070921985,0.9819558573619936
화담숲주막_느린마을 막걸리,화담숲주막_스프라이트,277,0.9787985865724381,0.9964028776978417,1.8730965757429392,0.9753521126760564,0.9875615061085348
화담숲주막_단호박 식혜 ,화담숲주막_찹쌀식혜,278,0.9858156028368794,0.9928571428571429,1.8730496453900713,0.9788732394366197,0.9893301081118556
화담숲주막_참살이 막걸리,화담숲주막_콜라,275,0.9717314487632509,0.9963768115942029,1.873047575152353,0.9683098591549296,0.9839769726190463
화담숲주막_단호박 식혜 ,화담숲주막_콜라,274,0.9716312056737588,0.9927536231884058,1.872854352965361,0.9647887323943662,0.9821356320974935
화담숲주막_병천순대,화담숲주막_찹쌀식혜,280,0.9824561403508771,1.0,1.866666666666667,0.9824561403508771,0.9911892555667042
화담숲주막_찹쌀식혜,화담숲주막_해물파전,280,1.0,0.9824561403508771,1.866666666666667,0.9824561403508771,0.9911892555667042
화담숲주막_병천순대,화담숲주막_해물파전,285,1.0,1.0,1.8666666666666667,1.0,1.0
화담숲주막_느린마을 막걸리,화담숲주막_병천순대,283,1.0,0.9929824561403509,1.8666666666666667,0.9929824561403509,0.9964850506356584
화담숲주막_느린마을 막걸리,화담숲주막_해물파전,283,1.0,0.9929824561403509,1.8666666666666667,0.9929824561403509,0.9964850506356584
화담숲주막_병천순대,화담숲주막_참살이 막걸리,283,0.9929824561403509,1.0,1.8666666666666667,0.9929824561403509,0.9964850506356584
화담숲주막_참살이 막걸리,화담숲주막_해물파전,283,1.0,0.9929824561403509,1.8666666666666667,0.9929824561403509,0.9964850506356584
화담숲주막_단호박 식혜 ,화담숲주막_병천순대,282,1.0,0.9894736842105263,1.8666666666666667,0.9894736842105263,0.9947229183096801
화담숲주막_단호박 식혜 ,화담숲주막_해물파전,282,1.0,0.9894736842105263,1.8666666666666667,0.9894736842105263,0.9947229183096801
화담숲주막_병천순대,화담숲주막_스프라이트,278,0.9754385964912281,1.0,1.8666666666666667,0.9754385964912281,0.9876429499020525
화담숲주막_스프라이트,화담숲주막_해물파전,278,1.0,0.9754385964912281,1.8666666666666667,0.9754385964912281,0.9876429499020525
화담숲주막_병천순대,화담숲주막_콜라,276,0.968421052631579,1.0,1.8666666666666667,0.968421052631579,0.9840838646332836
화담숲주막_콜라,화담숲주막_해물파전,276,1.0,0.968421052631579,1.8666666666666667,0.968421052631579,0.9840838646332836
화담숲주막_느린마을 막걸리,화담숲주막_참살이 막걸리,281,0.9929328621908127,0.9929328621908127,1.866573437051281,0.9859649122807017,0.9929328621908127
화담숲주막_느린마을 막걸리,화담숲주막_단호박 식혜 ,280,0.9893992932862191,0.9929078014184397,1.8665263263413778,0.9824561403508771,0.991151994913887
화담숲주막_단호박 식혜 ,화담숲주막_참살이 막걸리,280,0.9929078014184397,0.9893992932862191,1.8665263263413778,0.9824561403508771,0.991151994913887
화담숲주막_느린마을 막걸리,화담숲주막_찹쌀식혜,278,0.9823321554770318,0.9928571428571429,1.866431095406361,0.9754385964912281,0.9875806282140331
화담숲주막_참살이 막걸리,화담숲주막_찹쌀식혜,278,0.9823321554770318,0.9928571428571429,1.866431095406361,0.9754385964912281,0.9875806282140331
화담숲주막_스프라이트,화담숲주막_참살이 막걸리,276,0.9928057553956835,0.9752650176678446,1.8663344942420623,0.968421052631579,0.9839963021153632
화담숲주막_느린마을 막걸리,화담숲주막_콜라,274,0.9681978798586572,0.9927536231884058,1.86623649306089,0.9614035087719298,0.9803988745367952
화담숲주막_단호박 식혜 ,화담숲주막_스프라이트,275,0.975177304964539,0.9892086330935251,1.8661666411551605,0.9649122807017544,0.9821679127663453
화담숲주막_스프라이트,화담숲주막_찹쌀식혜,273,0.9820143884892086,0.975,1.8658273381294963,0.9578947368421052,0.9785009089300727
화담숲주막_찹쌀식혜,화담숲주막_콜라,271,0.9678571428571429,0.9818840579710145,1.8655797101449274,0.9508771929824561,0.9748453718230411
